sample_id,trial_id,timestamp,gaze_x,gaze_y,pupil_left,pupil_right,blink,fixation,saccade,validity
62,T001,1.017,0.559,0.526,3.40,3.02,0,1,0,1
63,T001,1.033,0.445,0.384,3.26,3.62,0,1,0,1
64,T001,1.050,0.550,0.668,3.45,3.30,0,1,0,1
65,T001,1.067,0.589,0.416,3.30,3.22,0,1,0,1
66,T001,1.083,0.353,0.428,3.38,3.50,0,1,0,1
67,T001,1.100,0.521,0.489,3.09,3.50,0,0,1,1
68,T001,1.117,0.703,0.434,3.54,3.49,0,1,0,1
69,T001,1.133,0.349,0.588,3.12,3.38,0,1,0,1
70,T001,1.150,0.407,0.522,3.18,3.25,0,1,0,1
71,T001,1.167,0.443,0.605,3.31,2.99,0,1,0,1
72,T001,1.183,0.405,0.477,3.19,3.19,0,1,0,1
73,T001,1.200,0.331,0.463,3.47,3.34,0,0,1,1
74,T001,1.217,0.479,0.387,3.39,3.42,0,1,0,1
75,T001,1.233,0.393,0.534,3.35,2.81,0,1,0,1
76,T001,1.250,0.594,0.657,3.29,2.96,0,1,0,1
77,T001,1.267,0.489,0.584,3.49,3.03,0,0,1,1
78,T001,1.283,0.579,0.415,3.04,3.53,0,0,1,1
79,T001,1.300,0.460,0.594,3.24,3.11,0,0,1,1
80,T001,1.317,0.530,0.516,3.35,3.26,0,1,0,1
81,T001,1.333,0.628,0.507,3.45,3.42,0,1,0,1
82,T001,1.350,0.586,0.579,3.22,3.49,0,0,1,1
83,T001,1.367,0.524,0.553,3.26,3.16,0,1,0,1
84,T001,1.383,0.532,0.569,3.35,3.41,0,1,0,1
85,T001,1.400,0.621,0.408,3.83,3.30,0,1,0,1
86,T001,1.417,0.433,0.387,3.26,2.73,0,1,0,1
87,T001,1.433,0.565,0.446,3.26,3.26,0,0,1,1
88,T001,1.450,0.460,0.413,3.28,3.49,0,1,0,1
89,T002,0.000,0.487,0.531,3.13,2.87,0,1,0,1
90,T002,0.017,0.580,0.480,3.35,3.26,0,0,1,1
91,T002,0.033,0.495,0.410,3.19,3.17,0,1,0,1
92,T002,0.050,0.396,0.573,3.28,3.31,0,1,0,1
93,T002,0.067,0.528,0.452,3.33,3.31,0,0,1,1
94,T002,0.083,0.542,0.351,3.34,3.41,0,1,0,1
95,T002,0.100,0.470,0.531,3.25,3.26,0,1,0,1
96,T002,0.117,0.537,0.440,3.14,3.41,0,1,0,1
97,T002,0.133,0.426,0.637,3.07,3.03,0,0,1,1
98,T002,0.150,0.482,0.406,3.12,3.24,0,0,1,0
99,T002,0.167,0.659,0.502,3.33,3.45,0,1,0,1
100,T002,0.183,0.538,0.491,3.15,3.04,0,1,0,1
101,T002,0.200,0.439,0.538,3.40,3.38,0,0,1,1
102,T002,0.217,0.464,0.578,3.24,3.48,0,1,0,1
103,T002,0.233,0.609,0.598,3.80,3.42,0,1,0,1
104,T002,0.250,0.506,0.579,2.98,3.65,0,0,1,1
105,T002,0.267,0.543,0.475,2.78,3.34,0,0,1,1
106,T002,0.283,0.574,0.603,3.50,3.60,0,1,0,1
107,T002,0.300,0.601,0.531,2.89,3.29,0,1,0,1
108,T002,0.317,0.514,0.538,3.40,3.15,0,1,0,1
109,T002,0.333,0.352,0.507,3.47,3.27,0,1,0,1
110,T002,0.350,0.371,0.546,3.05,3.19,0,0,1,1
111,T002,0.367,0.465,0.474,3.40,3.53,0,1,0,1
112,T002,0.383,0.483,0.490,3.19,3.27,0,1,0,1
113,T002,0.400,0.369,0.494,3.22,3.39,0,0,1,1
114,T002,0.417,0.435,0.444,3.30,3.28,0,1,0,1
115,T002,0.433,0.541,0.652,3.51,3.08,0,1,0,1
116,T002,0.450,0.316,0.584,3.22,3.26,0,0,1,1
117,T002,0.467,0.408,0.521,3.14,3.21,0,0,1,1
118,T002,0.483,0.692,0.541,2.96,3.13,0,1,0,1
119,T002,0.500,0.667,0.496,3.28,3.21,0,0,1,1
120,T002,0.517,0.513,0.362,3.16,3.11,0,1,0,0
121,T002,0.533,0.480,0.469,3.09,3.00,0,1,0,1
122,T002,0.550,0.465,0.593,3.37,3.35,0,1,0,1
123,T002,0.567,0.660,0.464,3.65,3.50,0,1,0,1
124,T002,0.583,0.406,0.517,3.61,3.15,0,1,0,1
125,T002,0.600,0.577,0.398,3.32,3.25,0,1,0,1
126,T002,0.617,0.516,0.493,3.28,3.07,1,0,0,0
127,T002,0.633,0.601,0.627,3.35,3.37,0,1,0,1
128,T002,0.650,0.387,0.515,3.00,3.29,0,1,0,1
129,T002,0.667,0.367,0.482,3.39,3.38,0,0,1,1
130,T002,0.683,0.382,0.536,3.38,3.51,0,0,1,1
131,T002,0.700,0.500,0.368,2.94,3.29,0,0,1,1
132,T002,0.717,0.540,0.513,3.10,3.11,0,0,1,1
133,T002,0.733,0.613,0.503,3.34,3.48,1,0,0,0
134,T002,0.750,0.538,0.532,3.45,3.38,0,1,0,1
135,T002,0.767,0.646,0.447,3.18,2.94,0,1,0,1
136,T002,0.783,0.416,0.365,3.58,3.17,0,0,1,1
137,T002,0.800,0.644,0.469,3.16,3.40,0,0,1,1
138,T002,0.817,0.391,0.530,3.32,3.27,0,0,1,0
139,T002,0.833,0.565,0.507,2.97,3.02,0,1,0,1
140,T002,0.850,0.638,0.551,2.94,3.24,0,1,0,1
141,T002,0.867,0.581,0.489,3.12,3.42,0,0,1,1
142,T002,0.883,0.484,0.434,3.23,3.11,0,0,1,1
143,T002,0.900,0.505,0.525,3.11,3.28,0,1,0,1
144,T002,0.917,0.582,0.598,3.71,3.24,0,0,1,1
145,T002,0.933,0.506,0.581,3.47,2.99,0,1,0,1
146,T002,0.950,0.570,0.465,3.22,3.15,0,0,1,1
147,T002,0.967,0.587,0.511,3.30,3.31,0,1,0,1
148,T002,0.983,0.517,0.580,3.17,3.45,0,1,0,1
149,T002,1.000,0.434,0.532,3.48,3.15,0,0,1,0
150,T002,1.017,0.518,0.588,3.59,3.03,0,1,0,1
151,T002,1.033,0.555,0.487,3.47,3.32,0,1,0,1
152,T002,1.050,0.420,0.458,3.32,3.28,0,1,0,1
153,T002,1.067,0.593,0.457,3.35,3.13,0,1,0,1
154,T002,1.083,0.366,0.699,3.42,3.29,0,1,0,1
155,T002,1.100,0.478,0.578,3.34,3.42,0,0,1,1
156,T002,1.117,0.577,0.396,3.26,3.62,0,1,0,1
157,T002,1.133,0.574,0.523,3.18,3.13,0,1,0,1
158,T002,1.150,0.574,0.523,3.25,3.35,0,1,0,1
159,T002,1.167,0.473,0.453,3.18,3.26,0,1,0,0
160,T002,1.183,0.485,0.436,3.41,3.72,0,1,0,1
161,T002,1.200,0.429,0.452,3.34,3.30,0,0,1,1
162,T002,1.217,0.525,0.375,3.13,3.28,0,1,0,1
163,T002,1.233,0.643,0.480,3.06,3.55,0,1,0,1
164,T002,1.250,0.470,0.514,3.41,3.36,0,0,1,1
165,T002,1.267,0.561,0.537,2.97,3.14,0,1,0,0
166,T002,1.283,0.405,0.589,3.35,3.30,0,0,1,1
167,T002,1.300,0.548,0.405,3.45,3.31,0,1,0,1
168,T002,1.317,0.609,0.493,3.66,3.09,0,1,0,1
169,T002,1.333,0.542,0.315,3.55,2.87,0,1,0,1
170,T002,1.350,0.498,0.509,3.23,3.38,0,1,0,1
171,T002,1.367,0.349,0.584,3.38,3.21,0,1,0,1
172,T002,1.383,0.430,0.578,3.18,3.13,0,1,0,1
173,T002,1.400,0.381,0.484,3.18,3.59,0,1,0,1
174,T002,1.417,0.464,0.346,3.14,3.23,0,0,1,1
175,T002,1.433,0.390,0.486,3.33,3.48,0,0,1,1
176,T002,1.450,0.555,0.520,3.21,3.38,0,1,0,0
177,T002,1.467,0.578,0.476,3.85,3.41,0,1,0,1
178,T002,1.483,0.506,0.447,3.34,3.32,0,0,1,1
179,T002,1.500,0.635,0.463,2.94,3.19,0,0,1,1
180,T002,1.517,0.460,0.510,3.21,3.30,0,1,0,1
181,T002,1.533,0.519,0.480,3.44,3.19,0,0,1,1
182,T002,1.550,0.471,0.455,3.58,3.37,0,1,0,1
183,T002,1.567,0.385,0.522,3.34,3.33,0,1,0,1
184,T002,1.583,0.406,0.543,3.52,3.18,0,1,0,1
185,T002,1.600,0.554,0.443,3.25,3.34,0,1,0,1
186,T002,1.617,0.541,0.630,3.32,3.44,0,1,0,1
187,T002,1.633,0.559,0.517,3.04,3.10,0,1,0,1
188,T002,1.650,0.469,0.497,3.16,3.24,0,1,0,1
189,T002,1.667,0.409,0.456,3.23,3.56,0,0,1,1
190,T002,1.683,0.530,0.531,3.33,3.53,0,0,1,1
191,T002,1.700,0.456,0.564,3.28,3.58,0,1,0,1
192,T002,1.717,0.411,0.426,3.41,3.20,0,0,1,1
193,T002,1.733,0.750,0.337,3.17,3.18,0,1,0,1
194,T002,1.750,0.454,0.542,3.25,3.21,0,1,0,1
195,T002,1.767,0.583,0.407,3.26,3.26,0,1,0,1
196,T002,1.783,0.375,0.566,3.49,3.19,1,0,0,0
197,T002,1.800,0.598,0.449,3.25,3.24,0,1,0,1
198,T002,1.817,0.334,0.420,3.47,3.30,0,0,1,1
199,T002,1.833,0.547,0.421,2.87,3.12,0,1,0,1
200,T002,1.850,0.350,0.661,3.24,3.23,0,1,0,1
201,T002,1.867,0.435,0.666,3.30,3.46,0,1,0,1
202,T002,1.883,0.524,0.553,3.74,3.72,0,1,0,1
203,T002,1.900,0.444,0.330,3.51,3.15,0,1,0,1
204,T002,1.917,0.460,0.487,3.79,3.30,0,0,1,1
205,T002,1.933,0.496,0.482,3.43,2.99,0,1,0,1
206,T002,1.950,0.391,0.498,3.40,3.37,0,0,1,1
207,T002,1.967,0.364,0.407,3.26,3.33,0,1,0,1
208,T002,1.983,0.744,0.548,3.05,3.28,0,0,1,1
209,T002,2.000,0.508,0.539,3.41,3.37,0,1,0,1
210,T002,2.017,0.353,0.488,3.20,3.44,0,1,0,0
211,T002,2.033,0.596,0.541,3.34,3.38,0,1,0,1
212,T003,0.000,0.629,0.458,3.18,3.21,0,0,1,1
213,T003,0.017,0.451,0.513,3.44,3.24,0,0,1,1
214,T003,0.033,0.693,0.435,3.19,3.06,0,1,0,1
215,T003,0.050,0.517,0.549,3.40,3.28,0,1,0,1
216,T003,0.067,0.556,0.449,3.37,3.37,0,1,0,1
217,T003,0.083,0.600,0.467,3.26,3.17,0,0,1,0
218,T003,0.100,0.607,0.534,3.28,3.15,0,0,1,1
219,T003,0.117,0.405,0.672,3.33,3.33,1,0,0,0
220,T003,0.133,0.547,0.601,3.20,3.16,0,0,1,1
221,T003,0.150,0.480,0.520,3.73,3.11,0,0,1,1
222,T003,0.167,0.516,0.455,3.32,3.15,0,1,0,1
223,T003,0.183,0.459,0.563,3.44,3.34,0,1,0,1
224,T003,0.200,0.530,0.412,3.54,3.26,0,1,0,1
225,T003,0.217,0.340,0.567,3.08,3.51,0,1,0,1
226,T003,0.233,0.431,0.412,3.34,3.36,0,1,0,1
227,T003,0.250,0.618,0.441,3.19,3.45,0,1,0,1
228,T003,0.267,0.598,0.445,3.22,3.48,0,1,0,1
229,T003,0.283,0.344,0.613,2.93,3.42,0,0,1,1
230,T003,0.300,0.480,0.429,3.32,3.28,1,0,0,0
231,T003,0.317,0.436,0.564,3.35,3.13,0,1,0,1
232,T003,0.333,0.307,0.489,3.48,3.23,0,0,1,1
233,T003,0.350,0.479,0.387,3.31,3.10,0,1,0,1
234,T003,0.367,0.376,0.567,3.30,3.28,0,1,0,1
235,T003,0.383,0.504,0.560,3.28,3.42,0,1,0,0
236,T003,0.400,0.556,0.509,3.26,3.24,0,1,0,0
237,T003,0.417,0.485,0.542,2.91,3.38,0,1,0,0
238,T003,0.433,0.636,0.606,2.97,3.42,0,0,1,1
239,T003,0.450,0.545,0.307,3.44,3.43,0,0,1,1
240,T003,0.467,0.632,0.535,3.69,3.36,0,1,0,1
241,T003,0.483,0.570,0.438,3.61,3.44,0,1,0,1
242,T003,0.500,0.392,0.471,3.36,3.38,0,0,1,1
243,T003,0.517,0.490,0.435,3.66,3.42,0,1,0,1
244,T003,0.533,0.608,0.553,3.24,3.32,0,1,0,1
245,T003,0.550,0.443,0.528,3.18,3.00,0,1,0,1
246,T003,0.567,0.445,0.571,3.36,3.09,0,1,0,0
247,T003,0.583,0.615,0.475,3.57,3.33,0,1,0,1
248,T003,0.600,0.400,0.359,3.44,3.38,0,1,0,1
249,T003,0.617,0.466,0.504,3.18,3.41,0,0,1,1
250,T003,0.633,0.501,0.400,3.29,3.37,0,0,1,1
251,T003,0.650,0.632,0.493,3.22,3.26,0,1,0,1
252,T003,0.667,0.592,0.586,3.27,3.53,0,1,0,1
253,T003,0.683,0.466,0.517,3.17,3.46,0,1,0,1
254,T003,0.700,0.522,0.566,3.22,3.48,0,1,0,1
255,T003,0.717,0.495,0.408,3.56,3.65,0,1,0,1
256,T003,0.733,0.578,0.542,3.30,3.33,1,0,0,0
257,T003,0.750,0.593,0.541,3.29,3.30,0,1,0,1
258,T003,0.767,0.458,0.478,3.40,3.19,0,1,0,1
259,T003,0.783,0.541,0.557,3.39,3.60,0,0,1,1
260,T003,0.800,0.538,0.533,3.10,2.96,0,1,0,1
261,T003,0.817,0.589,0.530,3.50,2.93,0,0,1,1
262,T003,0.833,0.383,0.616,3.37,3.15,0,1,0,1
263,T003,0.850,0.621,0.439,3.72,3.10,0,1,0,1
264,T003,0.867,0.481,0.430,3.35,3.25,0,1,0,1
265,T003,0.883,0.559,0.515,3.31,3.65,0,1,0,1
266,T003,0.900,0.513,0.488,3.44,3.41,1,0,0,0
267,T003,0.917,0.467,0.508,3.13,3.16,0,1,0,1
268,T003,0.933,0.404,0.508,3.27,3.27,0,1,0,1
269,T003,0.950,0.452,0.425,3.33,3.37,0,1,0,1
270,T003,0.967,0.523,0.620,3.33,3.16,0,1,0,1
271,T003,0.983,0.389,0.651,3.22,3.02,0,1,0,1
272,T003,1.000,0.537,0.517,3.54,3.18,0,1,0,1
273,T003,1.017,0.512,0.430,2.91,3.02,0,1,0,1
274,T003,1.033,0.469,0.478,3.42,3.26,0,1,0,1
275,T003,1.050,0.340,0.411,3.37,3.16,0,1,0,1
276,T003,1.067,0.548,0.456,3.44,3.36,0,1,0,1
277,T003,1.083,0.616,0.399,3.33,3.14,0,1,0,1
278,T003,1.100,0.444,0.475,3.49,3.54,0,1,0,1
279,T003,1.117,0.413,0.370,3.42,3.55,0,1,0,1
280,T003,1.133,0.403,0.466,3.39,3.17,0,1,0,1
281,T003,1.150,0.509,0.334,2.94,3.39,0,1,0,1
282,T003,1.167,0.461,0.491,3.23,3.21,0,1,0,1
283,T003,1.183,0.365,0.323,3.29,3.48,0,1,0,1
284,T003,1.200,0.457,0.419,3.29,3.22,0,1,0,1
285,T003,1.217,0.402,0.321,3.67,3.70,0,1,0,1
286,T003,1.233,0.427,0.578,3.58,3.40,0,1,0,1
287,T003,1.250,0.513,0.361,3.04,3.34,0,1,0,1
288,T004,0.000,0.541,0.702,3.30,3.75,0,0,1,1
289,T004,0.017,0.540,0.504,3.35,3.16,0,1,0,1
290,T004,0.033,0.457,0.410,3.18,3.13,0,1,0,1
291,T004,0.050,0.601,0.438,3.05,3.13,0,0,1,1
292,T004,0.067,0.713,0.537,3.27,3.21,0,1,0,1
293,T004,0.083,0.504,0.440,3.07,3.39,0,1,0,1
294,T004,0.100,0.440,0.561,3.17,3.12,0,0,1,0
295,T004,0.117,0.389,0.568,3.22,3.45,0,1,0,1
296,T004,0.133,0.508,0.499,3.45,3.58,0,1,0,1
297,T004,0.150,0.452,0.490,3.10,3.48,0,1,0,1
298,T004,0.167,0.575,0.400,3.47,3.41,0,1,0,1
299,T004,0.183,0.366,0.507,2.81,3.14,0,1,0,1
300,T004,0.200,0.624,0.555,3.15,3.21,0,0,1,1
301,T004,0.217,0.431,0.459,3.13,3.68,0,1,0,1
302,T004,0.233,0.528,0.593,3.20,3.29,0,1,0,1
303,T004,0.250,0.565,0.427,3.18,3.21,0,1,0,1
304,T004,0.267,0.539,0.654,3.25,3.14,0,1,0,1
305,T004,0.283,0.557,0.475,2.93,3.30,0,1,0,1
306,T004,0.300,0.606,0.408,3.16,3.51,0,1,0,1
307,T004,0.317,0.495,0.537,3.16,3.29,0,1,0,1
308,T004,0.333,0.583,0.421,3.22,3.20,0,1,0,1
309,T004,0.350,0.576,0.509,3.18,3.57,0,1,0,1
310,T004,0.367,0.508,0.493,3.66,3.35,0,1,0,1
311,T004,0.383,0.422,0.490,3.13,3.19,0,0,1,1
312,T004,0.400,0.466,0.595,3.49,3.14,0,1,0,1
313,T004,0.417,0.514,0.502,3.07,3.28,0,0,1,1
314,T004,0.433,0.599,0.442,3.14,2.91,0,1,0,1
315,T004,0.450,0.580,0.509,3.38,2.95,0,0,1,0
316,T004,0.467,0.473,0.427,3.35,3.55,0,0,1,1
317,T004,0.483,0.495,0.496,3.09,3.35,0,0,1,1
318,T004,0.500,0.567,0.492,3.41,3.25,0,0,1,1
319,T004,0.517,0.544,0.570,3.35,3.25,0,1,0,1
320,T004,0.533,0.615,0.411,3.08,3.03,0,1,0,1
321,T004,0.550,0.469,0.709,3.35,3.39,0,1,0,1
322,T004,0.567,0.410,0.536,3.07,3.38,0,1,0,1
323,T004,0.583,0.514,0.622,3.63,3.64,0,0,1,1
324,T004,0.600,0.501,0.501,3.31,3.25,0,0,1,1
325,T004,0.617,0.693,0.457,3.26,3.50,0,1,0,1
326,T004,0.633,0.384,0.523,3.43,3.23,0,1,0,1
327,T004,0.650,0.522,0.472,3.30,3.34,0,1,0,1
328,T004,0.667,0.492,0.479,3.59,3.45,0,0,1,1
329,T004,0.683,0.498,0.630,3.59,3.44,0,1,0,1
330,T004,0.700,0.503,0.434,3.35,3.51,0,1,0,1
331,T004,0.717,0.608,0.381,3.42,3.14,0,1,0,1
332,T004,0.733,0.354,0.617,3.43,3.20,0,1,0,1
333,T004,0.750,0.498,0.322,3.45,3.38,0,0,1,1
334,T004,0.767,0.381,0.571,3.43,3.26,0,0,1,1
335,T004,0.783,0.349,0.390,3.46,3.46,0,0,1,1
336,T004,0.800,0.493,0.399,3.22,3.23,0,1,0,1
337,T004,0.817,0.530,0.495,3.38,3.38,0,1,0,1
338,T004,0.833,0.636,0.395,3.25,3.03,0,1,0,1
339,T004,0.850,0.455,0.588,3.38,3.41,0,1,0,1
340,T004,0.867,0.610,0.527,3.26,3.49,0,1,0,1
341,T004,0.883,0.465,0.516,3.19,3.35,0,1,0,1
342,T004,0.900,0.420,0.482,3.57,3.18,0,1,0,1
343,T004,0.917,0.550,0.455,3.63,3.10,0,1,0,1
344,T004,0.933,0.492,0.424,3.35,3.24,0,1,0,1
345,T004,0.950,0.476,0.494,3.35,3.20,1,0,0,0
346,T004,0.967,0.686,0.553,3.34,3.32,0,1,0,1
347,T004,0.983,0.361,0.586,3.33,3.19,0,1,0,1
348,T004,1.000,0.558,0.508,3.41,3.46,0,1,0,1
349,T004,1.017,0.590,0.538,3.27,2.88,0,1,0,1
350,T004,1.033,0.470,0.427,3.39,3.18,0,1,0,1
351,T004,1.050,0.488,0.626,2.96,3.37,0,1,0,1
352,T004,1.067,0.546,0.452,3.10,3.40,0,1,0,1
353,T004,1.083,0.535,0.526,3.35,3.34,0,1,0,1
354,T004,1.100,0.444,0.646,3.32,3.39,0,0,1,1
355,T004,1.117,0.646,0.569,3.50,3.02,0,1,0,1
356,T004,1.133,0.440,0.483,3.16,3.18,0,1,0,1
357,T004,1.150,0.480,0.558,3.34,2.95,0,1,0,1
358,T004,1.167,0.671,0.431,3.05,3.73,0,1,0,1
359,T004,1.183,0.565,0.540,3.40,3.12,0,1,0,1
360,T004,1.200,0.572,0.626,3.21,3.65,0,1,0,1
361,T004,1.217,0.563,0.397,3.08,3.36,0,0,1,1
362,T004,1.233,0.482,0.355,3.36,3.15,0,1,0,1
363,T004,1.250,0.511,0.360,3.43,2.93,0,1,0,1
364,T004,1.267,0.351,0.473,3.15,3.53,0,1,0,1
365,T004,1.283,0.414,0.530,3.23,2.96,0,0,1,1
366,T004,1.300,0.527,0.476,3.02,3.17,0,1,0,1
367,T004,1.317,0.389,0.434,3.10,2.92,0,1,0,1
368,T004,1.333,0.533,0.554,3.24,3.12,0,1,0,0
369,T004,1.350,0.473,0.542,3.57,3.36,0,1,0,1
370,T004,1.367,0.478,0.490,3.36,3.55,0,0,1,1
371,T004,1.383,0.396,0.449,3.34,3.40,0,1,0,0
372,T004,1.400,0.573,0.512,3.11,3.41,0,1,0,1
373,T004,1.417,0.500,0.595,3.53,3.43,0,1,0,1
374,T004,1.433,0.546,0.547,2.98,3.30,0,0,1,1
375,T004,1.450,0.512,0.452,3.41,3.34,0,1,0,1
376,T004,1.467,0.508,0.445,3.36,3.53,0,0,1,1
377,T004,1.483,0.576,0.415,3.27,3.11,0,0,1,1
378,T004,1.500,0.534,0.378,3.22,2.95,0,1,0,1
379,T004,1.517,0.406,0.475,3.39,3.07,0,1,0,1
380,T004,1.533,0.515,0.549,3.40,3.28,0,1,0,0
381,T004,1.550,0.492,0.522,3.04,3.67,0,1,0,1
382,T004,1.567,0.445,0.591,3.45,3.11,0,1,0,1
383,T004,1.583,0.677,0.463,3.21,3.43,0,1,0,1
384,T004,1.600,0.539,0.472,3.14,3.79,0,1,0,1
385,T004,1.617,0.544,0.628,3.35,3.28,0,1,0,1
386,T004,1.633,0.563,0.464,3.37,3.15,0,0,1,1
387,T004,1.650,0.529,0.451,3.10,3.09,0,1,0,1
388,T004,1.667,0.661,0.530,3.23,3.27,0,1,0,1
389,T004,1.683,0.471,0.555,3.22,3.14,0,0,1,1
390,T004,1.700,0.451,0.432,3.16,3.23,0,1,0,1
391,T004,1.717,0.414,0.458,3.14,3.49,0,0,1,1
392,T004,1.733,0.377,0.510,3.27,3.54,0,1,0,1
393,T004,1.750,0.501,0.450,3.62,3.21,0,1,0,1
394,T004,1.767,0.539,0.713,3.28,3.38,0,1,0,1
395,T004,1.783,0.458,0.404,3.04,3.43,0,0,1,1
396,T004,1.800,0.741,0.468,3.41,3.18,0,0,1,1
397,T004,1.817,0.680,0.500,3.06,3.04,0,1,0,1
398,T004,1.833,0.464,0.462,3.14,3.61,0,1,0,1
399,T004,1.850,0.558,0.442,3.25,3.27,0,0,1,1
400,T004,1.867,0.518,0.441,3.24,3.40,0,1,0,1
401,T005,0.000,0.406,0.660,3.53,3.60,0,1,0,1
402,T005,0.017,0.459,0.417,3.07,2.80,0,1,0,1
403,T005,0.033,0.524,0.417,3.16,3.57,0,1,0,0
404,T005,0.050,0.554,0.566,3.24,3.37,0,0,1,1
405,T005,0.067,0.502,0.719,3.19,3.48,0,1,0,1
406,T005,0.083,0.616,0.657,3.12,3.28,0,1,0,1
407,T005,0.100,0.472,0.427,3.18,3.29,0,1,0,1
408,T005,0.117,0.577,0.489,3.24,3.24,0,1,0,1
409,T005,0.133,0.413,0.451,3.26,3.40,0,1,0,1
410,T005,0.150,0.545,0.522,3.16,2.97,0,1,0,1
411,T005,0.167,0.621,0.331,3.16,3.02,0,0,1,1
412,T005,0.183,0.439,0.542,3.28,3.33,0,1,0,1
413,T005,0.200,0.451,0.446,3.35,3.34,0,1,0,1
414,T005,0.217,0.483,0.517,3.40,3.59,0,1,0,1
415,T005,0.233,0.524,0.452,3.43,3.33,0,1,0,1
416,T005,0.250,0.490,0.481,3.54,3.30,0,1,0,1
417,T005,0.267,0.573,0.557,3.48,3.44,0,1,0,1
418,T005,0.283,0.517,0.604,3.08,3.26,0,1,0,1
419,T005,0.300,0.562,0.485,3.09,3.30,0,1,0,1
420,T005,0.317,0.600,0.513,3.23,3.29,0,1,0,1
421,T005,0.333,0.334,0.540,3.22,3.12,0,1,0,1
